company,title
Microsoft,Technical Recruiter
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,"Director, Thought Leadership and Executive Communications"
Microsoft,Data Analyst II
Microsoft,"Director, Thought Leadership and Executive Communications"
Amazon,"Executive Assistant, Amazon Ads"
Amazon,"Executive Assistant, Amazon Ads"
Amazon,"Executive Assistant, Amazon"
Amazon,"Visual Designer, Amazon Go"
Amazon,"Business Analyst, Amazon Fresh"
Amazon,"Marketing Manager, Amazon Canada"
Amazon,Executive Assistant
Amazon,"Virtual Customer Support Associate - West Bengal, India"
Amazon,"Visual Designer, Amazon Go"
Amazon,"Virtual Customer Service Associate- Karnataka, India"
Apple,"Designer, Business Solutions (Corporate Partnerships)"
Apple,Social Media Specialist
Apple,Digital Marketing Coordinator
Apple,Dishwasher
Apple,Data Analyst
Apple,Data Analyst
Apple,Line Cook
Apple,JNR. CREATIVE DESIGNER - BARCELONA
Apple,Stocking & Unloading
Apple,Customer Relations and Sales Officer
Facebook,Data Analyst
Facebook,Executive Administrative Partner
Facebook,Marketing Insights Manager - Facebook
Facebook,"Creative Strategist, NEMEA NORDICS"
Facebook,Marketing Insights Manager - Facebook
Facebook,Regulatory Escalations Specialist
Facebook,"Business Development Manager, LATAM"
Facebook,Product Designer
Facebook,Product Manager
Facebook,Head of Facebook Research
Netflix,Expression of Interest- Story Department
Netflix,"Expression of Interest - Feature Animation, Art Department"
Netflix,"Administrative Assistant, Consumer Products"
Netflix,"Manager, Social - Multicultural"
Netflix,"Expression of Interest - Feature Animation, Post & Editorial"
Netflix,"Executive Assistant, Ads Platform"
Netflix,Expression of Interest- Production Management
Netflix,"Product Manager, Content Acquisition"
Netflix,Business Visa Associate
Netflix,"Data Analyst, Production Finance Operations & Innovation"
Salesforce,Regional Vice President - East
Salesforce,Summer 2025 Intern - Associate Product Manager (APM)
Salesforce,Business Development Rep
Salesforce,Regional Vice President - East
Salesforce,Regional Vice President - East
Salesforce,Regional Vice President - East
Salesforce,Regional Vice President - East
Salesforce,Creative Associate – Jr Designer
Salesforce,Regional Vice President - East
Salesforce,Regional Vice President - East
IBM,Assistente Administrativo- Arrecadação e Conciliação Bancária
IBM,Entry Level - Developer
IBM,Marketing Development Representative
IBM,Marketing Development Representative
IBM,Entry Level - Software Tester
IBM,HR Business Analyst
IBM,Procurement Operations Buyer
IBM,Procurement Operations Buyer
IBM,"PC Technical Support (Cairo, Egypt)"
IBM,Procurement Operations Buyer
Intel,Software Development - Undergraduate Intern
Intel,Strategic Initiatives – MBA graduate – Intel Contract Employee!
Intel,"Director, Business Development"
Intel,Foundry Engineering Careers – Join Intel Foundry
Intel,"Vice President, Foundry Business Development & Sales"
Intel,Future Careers in Manufacturing – Join us in Magdeburg!
Intel,Technical Marketing Engineer Intern
Intel,Strategic Sourcing Manager
Intel,Senior Accounting Manager
Intel,RTL Design Engineer Intern
Oracle,Sales Development Representative
Oracle,Area Vice President
Oracle,Sales Development Representative
Oracle,Real Estate Analyst
Oracle,Software Developer 1
Oracle,Client Success Specialist II
Oracle,Software Engineer - fresh graduate
Oracle,Client Success Specialist II
Oracle,Client Success Specialist II
Oracle,Client Success Specialist II
